@RELATION 'repositories'
@ATTRIBUTE 'Language'   {JavaScript, Java, Ruby, PHP, Python, CSS, C++, C#, C, HTML}
@ATTRIBUTE 'Commits'   NUMERIC
@ATTRIBUTE 'Branches'   NUMERIC
@ATTRIBUTE 'Watchers'   NUMERIC
@ATTRIBUTE 'Forks'   NUMERIC
@ATTRIBUTE 'Issues'   NUMERIC
@ATTRIBUTE 'Releases'   NUMERIC
@ATTRIBUTE 'Readme'   {Yes, No}
@ATTRIBUTE '<100Contributors'   {Yes, No}
@ATTRIBUTE 'LOC'   NUMERIC
@ATTRIBUTE 'CommitInTheLastMonth'   {Yes, No}
@ATTRIBUTE 'Pull Requests'   NUMERIC
@ATTRIBUTE 'stars'   {<500, 500-2000, 2000-5000, 5000-10000, >10000}

@data
Python,448,2,611,1596,163,23,Yes,Yes,?,No,12,2000-5000 %https://github.com/fxsjy/jieba
Python,2207,3,293,364,53,45,Yes,Yes,?,No,1,2000-5000 %https://github.com/nicolargo/glances
Python,1970,3,242,373,84,47,Yes,No,?,No,31,2000-5000 %https://github.com/nate-parrott/Flashlight
Python,9,1,19,29,0,0,Yes,Yes,?,No,0,<500 %https://github.com/mschwager/dhcpwn
Python,138,1,86,250,19,9,Yes,Yes,?,No,48,500-2000 %https://github.com/JakeWharton/pidcat
Python,9493,31,287,1573,349,158,Yes,No,?,Yes,31,2000-5000 %https://github.com/celery/celery
Python,261,7,293,364,19,5,Yes,Yes,?,No,1,2000-5000 %https://github.com/facebook/chisel
CSS,84,2,40,88,0,2,Yes,Yes,?,No,0,<500 %https://github.com/kogakure/gitweb-theme
CSS,3,1,31,91,0,0,Yes,Yes,?,No,0,<500 %https://github.com/codrops/PageLoadingEffects
CSS,81,1,236,145,1,0,Yes,Yes,?,No,0,500-2000 %https://github.com/AllThingsSmitty/must-watch-css
CSS,745,3,236,638,11,0,Yes,Yes,?,No,0,500-2000 %https://github.com/1sters/material_design_zh
CSS,233,1,60,190,32,10,Yes,Yes,?,No,0,500-2000 %https://github.com/rstacruz/flatdoc
CSS,1178,4,62,209,9,3,Yes,Yes,?,No,2,500-2000 %https://github.com/mdo/github-buttons
CSS,30,1,80,49,7,0,Yes,Yes,?,No,0,<500 %https://github.com/m242/maildrop
CSS,306,2,47,55,7,18,Yes,Yes,?,No,0,<500 %https://github.com/HubSpot/tooltip
CSS,47,2,20,32,4,2,Yes,Yes,?,No,2,<500 %https://github.com/bjork24/Unison
CSS,178,4,62,209,9,3,Yes,Yes,?,No,2,500-2000 %https://github.com/mdo/github-buttons
CSS,210,2,48,180,6,31,Yes,Yes,?,No,1,500-2000 %https://github.com/wavded/humane-js
CSS,210,2,48,180,6,31,Yes,Yes,?,No,1,500-2000 %https://github.com/poole/poole
C++,144,4,22,78,12,24,Yes,Yes,?,No,3,<500 %https://github.com/node-inspector/v8-profiler
C++,1540,1,29,82,47,0,Yes,Yes,?,No,1,<500 %https://github.com/etexteditor/e
C++,209,1,71,86,0,207,Yes,Yes,?,No,0,<500 %https://github.com/AutoHotkey/AutoHotkey
C++,135,2,156,148,6,2,Yes,Yes,?,Yes,0,<500-2000 %https://github.com/electronicarts/EASTL
C++,128,5,189,548,33,0,Yes,Yes,?,No,9,<500-2000 %https://github.com/codebutler/firesheep
C++,2826,2,213,391,96,0,Yes,Yes,?,No,9,<2000-5000 %https://github.com/paulasmuth/fnordmetric
C++,39074,13,497,3461,221,110,Yes,Yes,?,Yes,221,<2000-5000 %https://github.com/xbmc/xbmc
C++,2052,1,318,444,113,7,Yes,Yes,?,Yes,19,<2000-5000 %https://github.com/SFTtech/openage
C++,3692,7,1332,5709,396,11,Yes,No,?,Yes,211,<5000-10000 %https://github.com/BVLC/caffe
C++,18884,2,1105,7890,942,48,Yes,No,?,Yes,58,<5000-10000 %https://github.com/Itseez/opencv
C++,36373,17,1972,3127,1643,68,Yes,Yes,?,Yes,15,>10000 %https://github.com/apple/swift
C#,488,2,49,233,41,0,Yes,Yes,?,No,23,<500 %https://github.com/migueldeicaza/MonoTouch.Dialog
C#,8,1,64,131,4,0,Yes,Yes,?,No,5,<500 %https://github.com/wybory2014/Kalkulator1
C#,3348,15,162,270,312,32,Yes,Yes,?,Yes,5,500-2000 %https://github.com/jaredpar/VsVim
C#,4029,9,249,885,58,50,Yes,Yes,?,Yes,4,500-2000 %https://github.com/cefsharp/CefSharp
C#,13404,41,793,1248,2611,35,Yes,Yes,?,Yes,107,2000-5000 %https://github.com/dotnet/roslyn
C#,106398,219,517,2171,0,316,Yes,Yes,?,Yes,111,2000-5000 %https://github.com/mono/mono
C#,10041,10,1433,2274,938,3,Yes,Yes,?,Yes,39,5000-10000 %https://github.com/dotnet/corefx
C#,5212,3,978,710,0,1,Yes,Yes,?,Yes,79,5000-10000 %https://github.com/dotnet/coreclr
C#,4520,92,667,1732,397,36,Yes,Yes,?,No,18,5000-10000 %https://github.com/SignalR/SignalR
C#,175,3,53,90,39,10,Yes,Yes,?,No,2,<500 %https://github.com/kohsuke/winsw
C#,1747,3,75,65,66,6,Yes,Yes,?,Yes,0,<500%https://github.com/Pash-Project/Pash
C#,1612,3,131,227,238,26,Yes,Yes,?,Yes,11,>10000%https://github.com/chocolatey/choco
HTML,66,1,38,80,20,4,Yes,Yes,?,No,2,<500 %https://github.com/scotch-io/scotch-panels
HTML,15,1,44,108,0,0,Yes,Yes,?,No,3,<500 %https://github.com/Aaaaaashu/Front-End-Style-Guide
HTML,586,2,57,283,35,0,Yes,Yes,?,Yes,2,<500 %https://github.com/coursera-dl/edx-dl
HTML,373,13,121,641,120,19,Yes,Yes,?,No,43,500-2000 %https://github.com/vitch/jScrollPane
HTML,248,3,94,94,0,15,Yes,Yes,?,Yes,0,500-2000 %https://github.com/caiorss/Functional-Programming
HTML,203,2,75,98,19,13,Yes,Yes,?,No,2,500-2000 %https://github.com/micha/resty
HTML,160,2,141,432,11,6,Yes,Yes,?,No,4,500-2000 %https://github.com/sofish/typo.css
HTML,482,4,144,443,60,27,Yes,Yes,?,Yes,21,500-2000 %https://github.com/grangier/python-goose
HTML,26,1,49,78,3,8,Yes,Yes,?,No,0,500-2000 %https://github.com/1000ch/grd
HTML,611,36,124,192,26,2,Yes,Yes,?,No,17,<500 %https://github.com/strangeioc/strangeioc
HTML,338,2,28,358,11,9,Yes,Yes,?,Yes,2,<500 %https://github.com/Huxpro/huxpro.github.io
HTML,122,5,26,36,0,6,Yes,Yes,?,No,0,<500 %https://github.com/bensmithett/style
